month,production
2007-12-01,77143784
2007-11-01,98990293
2007-10-01,159022184
2007-09-01,166612752
2007-08-01,50234295
2007-07-01,4452068
2007-06-01,5386396
2007-05-01,6290215
2007-04-01,7376878
2007-03-01,11542697
2007-02-01,15120636
2007-01-01,36698357
2006-12-01,118342881
2006-11-01,113948284
2006-10-01,166129015
2006-09-01,116912824
2006-08-01,20384713
2006-07-01,4377288
2006-06-01,4652684
2006-05-01,5890752
2006-04-01,7466668
2006-03-01,11635762
2006-02-01,16655569
2006-01-01,38414049
2005-12-01,154885626
2005-11-01,144266048
2005-10-01,190887317
2005-09-01,139689532
2005-08-01,28983566
2005-07-01,4543162
2005-06-01,5566460
2005-05-01,4222520
2005-04-01,5416001
2005-03-01,6249953
2005-02-01,9417414
2005-01-01,22964166
2004-12-01,81528159
2004-11-01,97011472
2004-10-01,170431529
2004-09-01,135603342
2004-08-01,32145088
2004-07-01,6616327
2004-06-01,5008419
2004-05-01,4912653
2004-04-01,5918539
2004-03-01,8425817
2004-02-01,15742022
2004-01-01,23126497
2003-12-01,81574170
2003-11-01,97011472
2003-10-01,170431529
2003-09-01,135603342
2003-08-01,32145088
2003-07-01,5199148
2003-06-01,6269887
2003-05-01,4883755
2003-04-01,6172695
2003-03-01,8494899
2003-02-01,11036162
2003-01-01,28266025
2002-12-01,80903702
2002-11-01,74698538
2002-10-01,165672318
2002-09-01,141838768
2002-08-01,25056886
2002-07-01,4221974
2002-06-01,5822018
2002-05-01,5254162
2002-04-01,5358581
2002-03-01,6805122
2002-02-01,12990961
2002-01-01,23092913
2001-12-01,65928652
2001-11-01,70935235
2001-10-01,150020357
2001-09-01,155382332
2001-08-01,55209083
2001-07-01,5458155
2001-06-01,5752145
2001-05-01,6520723
2001-04-01,4838946
2001-03-01,7721019
2001-02-01,21838707
2001-01-01,36357384
2000-12-01,89776754
2000-11-01,98413817
2000-10-01,148473085
2000-09-01,164785049
2000-08-01,37781584
2000-07-01,9736249
2000-06-01,5139036
2000-05-01,5687651
2000-04-01,6113022
2000-03-01,8967940
2000-02-01,16719446
2000-01-01,27404510
